_id,actual,predict
1tNJrcVe6gwLEiZCtprs1u,summer,summer
0QQIhT6PtJ5glyn4HKNKQ6,rainy,autumn
3Mgc6hFpByowXDImggLF8S,summer,summer
2XWjPtKdi5sucFYtVav07d,spring,spring
2xVzhDbm7uJq8XboeqqY0J,spring,spring
4ek3pPdfvIbPxynmlisI0k,winter,summer
0X9HXPDjQNtzdkHpTJ2UUC,spring,spring
2s3cLlYJ45K02djaHIwxUu,rainy,autumn
4kCSKIFIBo9DMtslnz3tMY,rainy,rainy
2DSpDVCcp0nfOkuhPUdero,rainy,winter
7d06uajfr1DZUeKVCaE9BS,summer,summer
6tp18AVA4FEjFTYaSD8exB,rainy,rainy
4NTNCUQRhHsKIJ8Bbf1kHh,winter,autumn
6ZrOBKUVZXhrUp9388yopW,summer,spring
3cQmqM0awej9iAESjhKrI9,winter,winter
0KTfZWEWivacSuZSjUe7JS,summer,summer
4luBGXcgpFQPPAtcF4zEdv,spring,spring
4VywXu6umkIQ2OS0m1I79y,summer,summer
41yIvlFgvGwxq8qTqAR7eG,rainy,autumn
5mo9cqdFYQDHDBaYT3rYZe,summer,summer
6KU6vpV7R8B52d7sgdNHiE,summer,winter
04BwBjVvvHshN9RbqNXfWQ,rainy,rainy
4dkoqJrP0L8FXftrMZongF,autumn,autumn
71O1jD7bF3cdMPvPi186V6,autumn,autumn
35FrTrB3SRaSuz94x9SxRD,rainy,rainy
7cLGZ3hU4ZYcJ3BzFujWuM,summer,winter
2MuMxAjqOZ2yGRXiUSYgje,spring,rainy
6cSsWi1c3ewIEmbqdUWsUM,winter,autumn
4yGXZOO0im1NZgImpprQcy,spring,winter
3vfzBtQYt9hbwVnHtmUVxH,winter,rainy
7bt5kLZihTKWaS86lYvj3g,spring,spring
1FBuBhNZ8dmjUBWR58UOQv,rainy,rainy
5pGCxazPxShO5jBpOyM85f,winter,autumn
7DF2SSCuHoniuh5sPeMvkv,winter,autumn
5xZYbdhg7rQQ9S1w8mozbU,winter,autumn
1gmarFWgSwb4SWlmqDjWka,spring,spring
7A0T4eb6jPhhQp3KQis6ww,rainy,rainy
4zRdmcE23a3LTVBTH1TtlP,spring,spring
209g8XrYu3ov4Wt4bRk2Yw,autumn,spring
1as1HN1p45h1NxBzXDiyVm,rainy,rainy
2uatFg68ynGEapEel9ASuK,winter,autumn
6DoYk3QIvkDs60S1d01vbx,summer,spring
5L79aNYCTKiZq7vaOElXYj,summer,spring
4Q66chx9WzqWcLItXoZ5r4,autumn,rainy
6CAg2oH5EEZnXHS0PD2e7C,spring,summer
5VyDhDfrTZuywIydd5R7j2,rainy,spring
0y1QJc3SJVPKJ1OvFmFqe6,rainy,rainy
3KZVWVH4epY2JGaqRs8bqg,winter,autumn
32cHleNk6n0RIVJMF4Q8LU,summer,winter
1hrQFVuMxyeTzRrP6YTf65,summer,spring
5Hp3iE6mv7aqfOOojBqUwi,autumn,rainy
386RUes7n1uM1yfzgeUuwp,summer,summer
7tvURb3EutC5eHJQ1QoNTq,winter,rainy
2uknzFIMqcBBAszfY8IBht,summer,spring
4RxyIfOAN8HsjBBoKKt0A4,rainy,rainy
4mu1L0HvElbEMVoVGO4mif,winter,autumn
4ZLzoOkj0MPWrTLvooIuaa,rainy,rainy
0Bcg7P1tTblLpEYjXPj2h0,rainy,autumn
3ksCO7ycQY9iKoYVD2tyie,winter,summer
4G1riMW9K3O9nI49UawBIX,winter,rainy
1Gv8dvKmkHVaB1edYvW0Fr,rainy,autumn
1CjvcxzHY3tbv63jui6y8A,summer,spring
